Division,Weight Class,Lift,Name,Kilos,Pounds,Date,Location,Event,Status,HasRecord
JUNIOR MEN 20 TO 23,75kg/165.2lb,Squat,Christian Waterman,230.0,507.06,2025-11-16,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,75kg/165.2lb,Bench,Jacob Hershberger,150.0,330.7,04/23/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,75kg/165.2lb,Deadlift,Emilio Mendiola,265.0,584.2,02/20/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,75kg/165.2lb,TOTAL,Christian Waterman,630.0,1388.91,2025-11-16,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,82.5kg/181.7lb,Squat,Logan Penix,265.0,584.2,09/11/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,82.5kg/181.7lb,Bench,Kyle Agner,187.5,413.4,11/09/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,82.5kg/181.7lb,Deadlift,Zach Ramsdell,327.5,722.0,04/23/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,82.5kg/181.7lb,TOTAL,Zach Ramsdell,737.5,1625.9,04/23/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,90kg/198.2lb,Squat,Norberto Martinez,285.0,628.3,10/02/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,90kg/198.2lb,Bench,Branden Short,185.0,407.9,04/03/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,90kg/198.2lb,Deadlift,Norberto Martinez,332.5,733.0,10/02/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,90kg/198.2lb,TOTAL,Branden Short,790.0,1741.6,04/03/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,100kg/220lb,Squat,Zachary Krohn,280.0,617.3,01/23/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,100kg/220lb,Bench,Zachary Krohn,185.0,407.9,01/23/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,100kg/220lb,Deadlift,Kole Amor,327.5,722.0,02/17/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,100kg/220lb,TOTAL,Kole Amor,755.0,1664.5,02/17/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,110kg/242lb,Squat,Gabe Overton,285.0,628.3,11/09/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,110kg/242lb,Bench,Devin Williams,200.5,442.0,02/15/2020,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,110kg/242lb,Deadlift,Seth Dick,310.0,683.43,2024-11-17,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,110kg/242lb,TOTAL,Andrew Kingzett,767.5,1692.0,02/26/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,125kg/275lb,Squat,Jayden Edwards,300.0,661.4,10/02/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,125kg/275lb,Bench,Vinny Pospisil,190.0,418.9,11/09/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,125kg/275lb,Deadlift,Vinny Pospisil,290.0,639.3,11/09/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,125kg/275lb,TOTAL,Jayden Edwards,770.0,1697.6,10/02/2022,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,140kg/308.5lb,Squat,Wade Smith,272.5,600.76,05/04/2024,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,140kg/308.5lb,Bench,Wade Smith,142.5,314.16,05/04/2024,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,140kg/308.5lb,Deadlift,Wade Smith,290.0,639.34,05/04/2024,ohio,raw-powerlifting,drug-tested,True
